Section Header,Content,Source
How can I get in touch with ECSI directly?,"ECSI is a third-party company that has partnered with Salem State to provide the 1098-T tax document. Call 1.866.428.1098 with questions about your 1098-T tax document. Customer Advocates are available Monday to Friday, 7:30 AM - 8:00 PM Eastern Time. You can retrieve general information about your 1098-T tax document using our automated service that is available 24 hours per day, 7 days per week. A live chat function is available using the link below.

You can also live chat with text by texting HELP at 888.996.3002.

https://heartland.ecsi.net/index.main.html#/contactus ",1098-T FAQ's.csv
First-Year Applicants,"For students currently enrolled in high school, have a GED, or have not enrolled full-time in college-level courses. Look here for more information about applying as a first-year applicants: https://www.salemstate.edu/admissions-aid/undergraduate-admissions/applicants/first-year-applicants ",Applicants.csv
Transfer Applicants,"For students who have graduated from high school, have a GED, or are currently enrolled in a community college, university or college elsewhere.  Look here for more information about applying as a transfer student: https://www.salemstate.edu/admissions-aid/undergraduate-admissions/applicants/transfer-applicants 
",Applicants.csv
International Applicants,"For students who are not U.S. citizens. Look here for more information about applying as an international applicant: https://www.salemstate.edu/admissions-aid/undergraduate-admissions/applicants/international-applicants 
",Applicants.csv
Where can I find the First Year Student App portal ,Application for First Year Students: https://www.salemstateu.org/freshman/ ,Application Portals for incoming Students.csv
Where can I find the Transfer App portal,Application for Transfer students: https://salemstateuniversity.force.com/application/ ,Application Portals for incoming Students.csv
Where can I find the Part-Time or Evening Undergraduate Students application portal ,Application for part time or evening undergraduate students: https://salemstateuniversity.force.com/application/ ,Application Portals for incoming Students.csv
Application Status,"Once your application is complete and submitted, it generally takes 4-6 weeks for a decision to be sent to you. Check your Navigator account on your student home page by clicking on your 'Application Status'. ",Application Status.csv
"What is Financial Aid?
","Financial aid is federal and state government money that helps you pay for your educational expenses. It comes in two basic types – gift aid, which is given to a student without obligation, and self-help, which is either loans to be paid back or a work grant to be earned. Awards might be based on any combination of factors, including your grades, needs, talents, or circumstances. They can come from several sources, including federal and state governments and institutional aid.

Financial aid is awarded on a first-come, first-served basis. Salem State offers a combination of need and merit-based aid. For detailed information on the FAFSA, types of aid, and eligibility criteria, visit studentaid.gov. 

Types of aid include grants and scholarships, work-study, and loans. The amount you receive is determined by your Cost of Attendance (COA) and Expected Family Contribution (EFC). ",Financial Aid.csv
Types of Financial Aid,"-Merit-based aid is based on your achievements and academic performance and typically includes a scholarship that does not need to be repaid.                                       
                                                                                                                                                                                            --Need-based aid solely takes into account the ability of you and your family to pay for college. This type of aid can come from grants, loans, and work-study.",Financial Aid.csv
"Understanding Your Costs","The Cost of Attendance (COA) includes tuition, fees, room and board (food), transportation, books, supplies, and miscellaneous expenses. You can estimate your cost of attendance by using our online worksheet or net price calculator.

All the information you put on your Free Application for Financial Aid (FAFSA) generates an estimate of how much you and your family can contribute to your education or your Estimated Family Contribution (EFC).",Financial Aid.csv
"How to Apply for Financial Aid
","Students and their families will complete the Free Application for Federal Student Aid (FAFSA) which determines their eligibility for financial aid. The FAFSA is required for each academic year a student is enrolled at Salem State in a degree-seeking program. You will need a secure username, called a FSA ID, and a password to complete the FAFSA. It will take about 30 minutes to complete the first time you apply for aid. Students and their families can do a quick renewal process every year after that. 

To apply for financial aid, complete the following steps:

-Create a Federal Student Aid ID
-Submit the Free Application for Federal Student Aid (FAFSA)
-Salem State's school code is 002188
-When you fill out your FAFSA, you'll provide personal demographic and financial information, such as your family's federal income tax returns, W-2 forms, bank statements, and information on your family's investments.
                                                                                                                                                                                                                                                                The FAFSA is available starting October 1 at no cost to students. Students will be considered for all federal, state, and institutional aid based on the information from their FAFSA. The FAFSA is also a requirement to be considered for Salem State scholarships and many other scholarships. ",Financial Aid.csv
"Are there Deadlines? 
","-The FAFSA opens each year on October 1st.
                                                                                                                                                                                                          -The 2024-2025 FAFSA will be available in December 2023.
                                                                                                                                                                                                            -Salem State's priority filing deadline is the following February 15th. 
Massachusetts has an annual filing deadline of May 1st.
Are you from another state? Check your state deadline.",Financial Aid.csv
Need Help Filing the FAFSA?,"If you need help filling out the FAFSA form, use these free tools:

-In the online FAFSA form, select the white question mark icon next to a FAFSA question to view a “tool tip” that provides information about how to answer that question.                                        
                                                                                                                                                                                                             -You can visit the “FAFSA Help” page here: https://studentaid.gov/apply-for-aid/fafsa/filling-out/help, view trending FAFSA topics, browse FAQs, search for more information, or select “Contact Us.”
                                                                                                                                                                                                        -Once you select “Contact Us,” you’ll have the option of emailing us with your question or, during business hours, chatting (in English or Spanish) with live technical support staff here",Financial Aid.csv
Additional information about filing the FAFSA,"Salem State University has partnered with the MassEdCO Educational Opportunity Center to provide additional support to students and families needing assistance with the FAFSA process.

The MassEdCo Educational Opportunity Center can assist with the following:

-Understanding the college application process and how to fill out an application
                                                                                                                                                                                                        -Understanding the financial aid process and completing the FAFSA
                                                                                                                                                                                                            -Deciding what to study and choosing an academic program that matches their career interests
                                                                                                                                                                                                                                                                                                        -If applicable, transfer to Salem State, and much more!
-Please contact the North Shore Area Educational Opportunity Center in Lynn, Massachusetts, for additional information.
                                                                                                                                                                                                                                 -Please contact the Student Navigation Center if you need help or have questions about Salem State. The Student Navigation Center can check if we received your FAFSA or if you have trouble logging into your Salem State Navigator account.",Financial Aid.csv
Test Optional,"Some applicants may be able to select ""test optional"" when completing his/her application. Learn how to select test optional and the requirements. Please note that nursing applicants must submit test scores*.

When test scores are submitted, we use a sliding scale based on a minimum grade-point average (on a 4.0 scale) and a corresponding SAT or ACT score. If your grade-point average is 3.0 or higher and you have an SAT score above 990 (19 on the ACT), you will receive the highest consideration. Students who took the SAT prior to 2015 should contact admissions about submitting test scores.                                                                                                                                                                                                                                                                                 Please note that these are minimum admissions standards and do not guarantee admission. Some of our majors are highly competitive and require higher academic standards and early application submission. Information on this website is subject to change at any time",First-Year Admission Requirements.csv
Ready to Apply?,"When you are ready to apply, do so through our 'Drive To Succeed' portal ",First-Year Admission Requirements.csv
How to be eligible for scholarships,Students are automatically reviewed for Salem State academic scholarships and grants by completing both the FAFSA and the Salem State endowed scholarships application*. The application is where you can also find external opportunities. ,Grants & Scholarships.csv
Information on Salem State University Scholarships,Awarded to some incoming students who meet eligibility requirements. Students awarded academic scholarships must maintain a full-time course load and meet academic progress goals.,Grants & Scholarships.csv
Information on Salem State University Grants ,Need-based grants are awarded on a funds-available basis. Grants may not be awarded to a student annually and are pro-rated based on the number of credits in which a student is enrolled.,Grants & Scholarships.csv
Federal SEOG Grant,These grants are awarded based on eligibility as determined by the FAFSA and on also the university's level of available funding. The SEOG Grant may be prorated or canceled based on the number of credits a student is enrolled in.,Grants & Scholarships.csv
Federal Pell Grant,"The Pell Grant is awarded to undergraduate students who have not yet earned a bachelor's or professional degree. It is a grant and does not have to be repaid. The U.S. Department of Education uses a standard formula to determine your eligibility. Salem State must receive a valid SAR or ISIR no later than June 30 of the award year, or the student's last day of attendance, whichever comes first. If the student leaves school or completes his/her program and the college does not have a valid ISIR, the student is not eligible for a Pell Grant, or other aid. The amount of Pell Grant awarded is based on the FAFSA's Estimated Family Contribution (EFC) and number of credits a student is enrolled in.",Grants & Scholarships.csv
Harold T. and Alice M. McCarthy Memorial Scholarship (Full four-year scholarship),"The Harold T. and Alice M. McCarthy Memorial scholarship is a full four-year scholarship that includes full tuition, fees, room and board, and books and is awarded to a talented first-year student majoring in art + design with demonstrated financial need.

How to Apply:
                                                                                                                                                                                                           -Submit your application to the university as full-time art + design major
                                                                                                                                                                                                               -Complete the Free Application for Federal Student Aid, and complete the scholarship application. (The deadline to apply for this scholarship is March 1.)
                                                                                                                                                                                         ----Submit a portfolio through salemstate.slideroom.com.
                                                                                                                                                                                                      -For more information regarding the art portfolio, please contact the art department at 978.542.6222 or art@salemstate.edu.",Grants & Scholarships.csv
Jack Welch Scholarship,"The Jack Welch Scholarship is a four-year scholarship that covers tuition, fees, and books. New recipients are selected annually. To qualify, you must be: a resident of Salem, Massachusetts, and admitted and enrolled as a full-time student in Salem State University's Bertolon School of Business. Recipients can commute or live on campus; however, this scholarship does not cover room and board.

How to Apply:
                                                                                                                                                                                                             -Submit your application to the university as a full-time business major
                                                                                                                                                                                                                 -Complete the Free Application for Federal Student Aid, and complete the scholarship application. (The deadline to apply for this scholarship is March 1.)",Grants & Scholarships.csv
Department of Children & Families (DCF) Adopted Children's Tuition Waiver,Tuition waiver for students 24 years of age or younger: full tuition for day college courses to all children in the custody of DSS adopted by an eligible Massachusetts state employee through DSS; also for all children in the custody of DSS and adopted through DSS by an eligible Massachusetts resident.,Grants & Scholarships.csv
Department of Children & Families (DCF) Foster Care Children's Tuition Waiver,Full tuition for day college courses to a student who is a current or former foster child; who was placed in the custody of the state through a Care and Protection Petition; is 24 years old or under; was in the custody of the Commonwealth for at least 12 consecutive months and was not adopted or returned home.,Grants & Scholarships.csv
Foster Care Grant,Provides grants to eligible students as determined by DSS and the Massachusetts Office of Student Financial Assistance.,Grants & Scholarships.csv
MASSGrant,"MassGrant provides need-based financial assistance to undergraduate students who reside in Massachusetts. Students must enroll full-time and meet the EFC requirements to be eligible to receive this grant. Students must have an EFC between $0.00 and $6,206.00. For MASSGrant Award Terms and Conditions, please visit mass.edu.

The Office of Student Financial Assistance (OSFA) will notify students of their eligibility. Students must return any requested forms to OSFA promptly; failure to do so could jeopardize the receipt of their award. 

Salem State is not responsible for the estimated award for which payment is not received.

Students must meet the State of Massachusetts' May 1st FAFSA deadline to be considered for this grant.",Grants & Scholarships.csv
MASSGrant Plus,"Under the MASSGrant Plus program, full time students attending Massachusetts four-year public colleges and universities, and full-time may be eligible for additional funding to help with the cost of tuition, fees and books. Please review the program requirements to determine if you qualify:

-Be a permanent legal resident of Massachusetts for at least one full year prior to the opening of the academic year. 
                                                                                                                                                                                                          -Be a U.S. Citizen or non-citizen eligible under Title IV regulations. 
                                                                                                                                                                                                                     -Have applied for financial aid, using the standard 2022-23 Free Application for Federal Student Aid (FAFSA), by January 1, 2023, subject to availability of funds. 
                                                                                                                                                                                                     -Be a student enrolled in a bachelor’s degree program at Salem State University. 
                                                                                                                                                                                                   -Not be in default of any federal or state Student Loans for attendance at any institution or owe a refund for any previous financial aid received. 
                                                                                                                                                                                                   -Be enrolled full-time (minimum 12 credits a semester)  
                                                                                                                                                                                                    -Not have received a prior bachelor’s degree or its equivalent. 
                                                                                                                                                                                                     -Be maintaining satisfactory academic progress in accordance with institutional and federal standards. 
                                                                                                                                                                                                        -Not have received a prior’s bachelor’s degree or its equivalent
                                                                                                                                                                                                         -Demonstrate financial need for tuition and fees after accounting for expected family contribution (EFC) and all forms of scholarship and grant aid. ",Grants & Scholarships.csv
Mass Cash Grant,The Mass Cash Grant grant is awarded based on eligibility as determined by the FAFSA and also on the university's level of available funding. This grant may be prorated or cancelled based on the number of credits a student is enrolled in.,Grants & Scholarships.csv
Massachusetts Part-Time Grant,This is a grant from the Commonwealth of Massachusetts for matriculated Massachusetts residents attending part-time (six – 11.5 credits). Eligibility will be determined by Salem State's financial aid office based on students' EFC and the availability of funds. The maximum award is $550.,Grants & Scholarships.csv
Public Service Scholarship,"Based upon entitlement, not need, this scholarship provides full tuition upon the loss of a parent and/or spouse who is killed or missing in the line of public service duty in Massachusetts. Call the Massachusetts Office of Student Financial Assistance at 617.727.9420 for more information.",Grants & Scholarships.csv
Salem Scholars Grant,"The Salem Scholars grant is a scholarship for all first-year undergraduate students with a home address in the following communities at the time of application to Salem State University. The scholarship is renewable annually and is for $1,500/year. Here are the listed home adresses:

-Beverly
-Chelsea
-Danvers
-Everett
-Lynn 
-Malden
-Medford
-Peabody
-Reading
-Revere
-Salem 
-Saugus
-Winthrop",Grants & Scholarships.csv
Stanley Z. Koplik - Certificate of Mastery Tuition Waiver,Non-need based waiver of day college tuition awarded by the Massachusetts Department of Education recognizing high academic achievement.,Grants & Scholarships.csv
Viking Completion Grant,"The Viking Completion Grant program, generously established by Kim Gassett-Schiller ’83, ‘18H and Philip Schiller aims to annually award 50 to 75 microgrants of up to $6,500 each to the university seniors with high academic merit who are most at risk for dropping out. The program will combine this financial support with ongoing coaching to encourage awardees’ successful on-time completion. Learn more about the Viking Completion Grant. 
",Grants & Scholarships.csv
What are the scholarships and grants that Salem State University offers?,Salem State University has both internal and external scholarhips and grants (and waiver program) provided for the students on campus that meet certain eligibility and criteria.                                                                                                                                                                                                                                                                                   Here are some of them listed:                                                                                                                                                                           -Federal SEOG Grant                                                                                                                                                                    -Federal Pell Grant -Harold T. and Alice M. McCarthy Memorial Scholarship (Full four-year scholarship)                                 -Jack Welch Scholarship                                                                                                                                                                        -Department of Children & Families (DCF) Adopted Children's Tuition Waiver                                                                                   -Department of Children & Families (DCF) Foster Care Children's Tuition Waiver                                                                           -Foster Care Grant                                                                                                                                                                             -MASSGrant                                                                                                                                                                                          -MASSGrant Plus                                                                                                                                                                                  -Mass Cash Grant                                                                                                                                                                                -Massachusetts Part-Time Grant                                                                                                                                                                      -Public Service Scholarship                                                                                                                                                                   -Salem Scholars Grant                                                                                                                                                                           -Stanley Z. Koplik: Certificate of Mastery Tuition Waiver                                                                                                                    -Viking Completion Grant                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Grants & Scholarships.csv
What paperwork do I need to submit to counseling and health services before I arrive at Salem State?,"Complete all items on the health and immunization form, available as an attachment here. You can upload your immunization documentation and medical records directly to your student health portal. If you or your doctor attaches a copy of your immunization record to this form, please have it translated into English. All international students, regardless of the number of credits they are taking, must comply with the Massachusetts immunization requirements. For a list of required immunizations, please refer to the immunization requirements page. You can also access the forms and immunization requirements by logging into the health services portal from your Navigator account.",Health Services Requirements for International Students.csv
"How does healthcare work in U.S.?
","The U.S. health care system is different than in most other countries. Instead of socialized or government-paid medicine, each person has to pay for his or her own medical care such as the cost to see a doctor, obtaining prescription medications, having lab procedures done, and for expensive hospital stays. Health insurance helps cover the costs of such visits which can be from $75 for seeing a doctor to over $30,000 per day for admission to a hospital.

Without insurance, the person would be responsible for paying all of those costs. With insurance, the person would be responsible to only pay a portion (usually called a co-pay) for these costs. Therefore, it is very important and useful to have health insurance to help navigate and afford the U.S. health care system. Students should read and become familiar with their policy's terminology and benefits. Important words to know and understand are deductible, co-pay, co-insurance, preferred provider, primary care physician, specialist, in-network, out-of-network, pre-existing condition, and referral. If you are unsure about any of your coverage for seeing a specific doctor, contact your insurance company.

As an international student, it is important to know that the U.S. government does not pay any part of any medical expenses for international students and it is a violation of immigration laws for F-1, F-2, J-1, and J-2 students and their dependents to accept public assistance. It is important to sign up for an insurance plan prior to becoming ill or injured.",Health Services Requirements for International Students.csv
What type of health insurance plan do I need?,"Massachusetts state law requires all international students studying in Massachusetts to have health insurance, regardless of the visa or number of credits. To ensure that all students are provided the most cost-effective coverage, and to meet the Massachusetts state and U.S. immigration law requirements, international students must purchase the Salem State student health insurance plan.

-If your parent or spouse is employed by a U.S. company, and you are covered under a U.S. health insurance plan through your parent or spouse, you may be eligible to waive the Salem State student health insurance plan. You must be registered for classes in order to enroll or waive the health insurance plan. If you are unsure of your status, please contact the bursar's office to confirm whether or not you can waive the Salem State student health insurance plan for this reason. 
                                                                                                                                                                                                          -All full-time students will be automatically enrolled and billed for the student health insurance plan if the insurance plan is not waived by the deadline. After you are registered for classes, you should confirm your enrollment.  If you are an ESL student, you will need to enroll in the plan when you arrive at Salem State. You will need to renew the plan prior to August of each year that you attend college here. 
                                                                                                                                                                                                                              -Do not purchase another policy or have your sponsor (embassy or government) purchase a policy for you unless you intend to have additional health insurance. International students covered by another plan should not renew the policy for the upcoming academic year and should inform third parties (embassies or other sponsoring organizations) who may have purchased other insurance for them.",Health Services Requirements for International Students.csv
"If I get sick, what are some tips for accessing health care in the U.S.?
","For non-emergency issues during business hours, students should seek assistance from Salem State's counseling and health services first. For Salem State students, there is no cost to see a doctor or nurse practitioner at counseling and health services. There is a charge for some lab tests and some immunizations. If you need to see a specialist off campus, we will give you suggestions as to who you should contact. Your health insurance is for treatment that you receive off campus, or for lab tests you may receive at counseling and health services. The hospital emergency department should only be used for life-threatening injuries or illnesses.

-Students should always carry their insurance card. Most hospitals, doctors and pharmacies work directly with insurance companies for payment. Without the insurance card, students may be required to pay the cost themselves and then apply to be reimbursed by the insurance company. 
                                                                                                                                                                                                -Students should complete insurance claim forms accurately and respond promptly to any requests for additional information. If you have the Salem State student health insurance plan, we can help you if you have questions. 
                                                                                                                                                                                                    -Students should read and become familiar with the policy terminology and benefits. Important words to know and understand are: deductible, co-pay, preferred provider, primary care physician, and pre-existing condition. These and other important terms and concepts are described in the brochure. ",Health Services Requirements for International Students.csv
There is a hold placed on my registration by counseling and health services. What should I do?,"A hold was placed on your registration because counseling and health services records show that you have not met all of the listed immunization requirements. You need to complete and return the health and immunization form because this means that counseling and health services does not have documentation of your immunization records, the documentation is incomplete, or you have an expired immunization. Counseling and health services will send you notification prior to the registration period. Please make sure to always update your mailing address on your Navigator account or with the registrar's office. If you have any questions about what information counseling and health services is missing, call 978.542.6413.",Health Services Requirements for International Students.csv
Are counseling services available to international students?,"Absolutely! The experience of studying abroad can be both exciting and stressful. As an international student, you may face the challenge of addressing academic and personal concerns in an environment that is new and unfamiliar. The counseling and health center provides services that can be helpful. We are aware that counseling may be uncommon in international students' home countries. Therefore, your counselor will discuss the process of counseling and explain how it may be helpful. It may be difficult at first to discuss personal problems with a stranger. Generally, these difficulties diminish once you start to trust your counselor.

Services are available to all students and all conversations are confidential. Counselors do not release information about a student without that student's written permission, except in the case of imminent danger to self or others, abuse, court order, or where otherwise required by law. Records of counseling are not a part of a student's official transcript. To make an appointment, or to find out further information about our services, contact us at 978.542.6413.",Health Services Requirements for International Students.csv
What are some additional information or common concerns experienced by international students,"COMMON CONCERNS EXPERIENCED BY INTERNATIONAL STUDENTS:
                                                                                                                                                                                                    -Finding that some individuals do not understand people from other cultures 
                                                                                                                                                                                                        -Using a foreign language 
                                                                                                                                                                                            -Adjusting to a new educational system 
                                                                                                                                                                                                    -Relating to peers, roommates and professors 
                                                                                                                                                                                                      -Learning to deal with new customs, behaviors and attitudes 
                                                                                                                                                                                                       -Insufficient financial funding 
                                                                                                                                                                                                 -Adjusting to changes in diet 
                                                                                                                                                                                                      -Being exposed to prejudice or discrimination 
                                                                                                                                                                                                       -Separation from family and friends over long distance 
                                                                                                                                                                                                      -Finding that the academic program does not address your needs or those of your country of origin 
                                                                                                                                                                                          Overall, these concerns can make the process of adaptation to a new culture and a new academic environment very difficult and stressful. These challenges can result in stress that can affect academic performance and your social and emotional functioning. Salem State counselors are sensitive to the needs of international students. They are interested in helping you achieve success in school. Our counselors provide a welcoming atmosphere for you to address questions and concerns and to help you explore possible ways to resolve or cope with difficulties you have encountered.",Health Services Requirements for International Students.csv
Is there a health and/or immunization requirement for Salem State University? ,"Massachusetts law requires immunization documentation to be on file in the counseling and health services office for students attending Salem State University. University policy and Massachusetts state law requires certain students to be in full compliance with Massachusetts state laws 105 CMR 220.00 and 105 CMR 220.660 and the Salem State University immunization policy, no later than two weeks prior to the start of the semester",Immunization Requirements.csv
What are the Massachusets immunization requirements? ,"-Residential students entering summer, fall, or spring. Residential students are expected to be in compliance with the requirements PRIOR to moving into the residence halls.
                                                                                                                                                                                                  -Undergraduate students who are taking 12 credits or more.
                                                                                                                                                                                                       -Graduate students enrolled full time in their graduate program. This includes students who may alternate between    part time to full time status for an individual semester.
                                                                                                                                                                                                       -Part-time students in a health science academic program.
                                                                                                                                                                                                -Students attending the university on an international student visa.
                                                                                                                                                                                                   -Please review the Immunization requirements, outlined in detail below. You can call counseling and health services with any questions (978-542-6413).
                                                                                                                                                                                                       -You MUST upload your immunization records to your health services portal 

-Students are advised to login to their student health portal and review their “Immunization Requirements” page at the start of every semester. It is also imperative to review emails and health portal messages received from counseling and health services to avoid registration delays or frustrations due to immunization noncompliance.",Immunization Requirements.csv
What's the immunization requirements for Salem State? ,"Hepatitis B: three doses required
-Dose one and two at least four weeks apart;
                                                                                                                                                                                                    -Dose two and three at least eight weeks apart;
                                                                                                                                                                                                                           -at least 16 weeks between doses one and three
                                                                                                                                                                                                     -OR Hepislav-B 2 doses 4 weeks apart
                                                                                                                                                                                                   -OR Hepatitis B lmmune Serology (titer) accepted (Lab documentation to be attached)
                                                                                                                                                                                        Measles, Mumps & Rubella (MMR): two doses MMR
-Dose one after first birthday;
                                                                                                                                                                                              -Dose two at least one month after dose one OR
                                                                                                                                                                                                  -MMR Immune Serology (titer) accepted (Lab documentation to be attached)
                                                                                                                                                                                                    -For college students, except health science students, birth before 1957 in the U.S. is also acceptable.
                                                                                                                                                                                         Meningitis
                                                                                                                                                                                                  -One dose of MCV4 for all students between the ages of 16 and 21 OR
                                                                                                                                                                                               -signed waiver under the forms selection
                                                                                                                                                                                                       TB screening- refer to health services portal forms section
                                                                                                                                                                                           Tetanus-Diptheria and Pertussis: One dose of adult Tdap within the past 10 years. A Td is NOT an acceptable alternative. 
                                                                                                                                                                               Varicella (Chicken Pox): two doses of Varicella required
-Dose one after first birthday;
                                                                                                                                                                                                      -Dose two at least three months after dose one if younger than 13; OR
                                                                                                                                                                                                                                              -Dose two at least one month after dose one if older than 13
                                                                                                                                                                                                 -History of disease (documentation needed by PCP) OR
                                                                                                                                                                                                       -Varicella Immune Serology (titer) accepted (Lab documentation to be attached) OR
                                                                                                                                                                                                       -Birth before 1980 in U.S. is acceptable for college students, except health science students
                                                                                                                                                                                            Other Recommended Vaccines, (not required):
                                                                                                                                                                                       Influenza
-The flu vaccine is strongly recommended to receive each fall/winter season, particularly during the pandemic to minimize viral respiratory illnesses in our community. 
                                                                                                                                                                                        COVID-19 Boosters
-As of May 11th, 2023, the CDC recommends that people ages 6 months an older receive at least 1 bivalent mRNA COVID-19 vaccine to be considered ""up to date"" on your COVID-19 vaccination. CDC guidance available here
                                                                                                                                                                                                           Human Papilloma Virus (HPV): three doses Gardasil 0.5mL
-Doses one and two at least one to two months apart
-Doses one and three at least six months apart
                                                                                                                                                                                          Meningococcal B Vaccine is recommended for all residential students. Currently 2 vaccines are available and the same vaccine must be used for all doses.
-Bexsero is given as 2 doses, at least 1 month apart.
-Trumenba is given as 3 doses, with the second dose 2 months after the first and the third dose 6 months after the first.",Immunization Requirements.csv
What is the Move-In policy or what do I have to do before moving in on campus?,"1.Pay your bill in full, be on an approved payment plan, and/or have sufficient financial resources to cover your balance (includes completing all aid-related items on your to-do tile in your Navigator account). You can confirm your total aid and account balance in Navigator. You can learn how to settle (pay) your bill using this link here: https://www.salemstate.edu/campus-life/student-navigation-center/student-accounts/pay-your-bill                                                           2.Complete your immunization requirements with counselong and health services (https://ask.salemstate.edu/kb/immunization-requirements). You can upload documents using the health portal located in Navigator, or mail/ fax to the office. Make sure the documentation has been received by checking the student health portal. Contact counseling and health services with questions at 978.542.6410.                                                                                                                                                    3.Meet Enrollment Requirements. A matriculated undergraduate student must be enrolled in 12 or more credits. A matriculated graduate student must be enrolled in 3 or more credits.",Move-In Policy.csv
How do I pay my bill?,If you want to know how to pay your bill take look at this link here: https://ask.salemstate.edu/kb/how-pay-my-bill   ,Student Accounts FAQ's.csv
